id,address,enabled,date_added,date_modified,comment,date_updated
1,https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,1592536862,1594085502,"Migrated from /etc/pihole/adlists.list",1612228309
3,http://sysctl.org/cameleon/hosts,1,1592536862,1594085503,"Migrated from /etc/pihole/adlists.list",1611805910
4,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,1,1592536862,1594085503,"Migrated from /etc/pihole/adlists.list",1611805910
5,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,1,1592536862,1594085504,"Migrated from /etc/pihole/adlists.list",1611805911
7,https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt,1,1592536862,1594085506,"Migrated from /etc/pihole/adlists.list",1612228323
8,https://v.firebog.net/hosts/Easyprivacy.txt,1,1592620816,1594085505,"",1612087268
9,https://v.firebog.net/hosts/Prigent-Ads.txt,1,1592620827,1594085508,"",1611805913
10,https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt,1,1592620837,1594085509,"",1612228311
11,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,1,1592620847,1594085509,"",1612228313
12,https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt,1,1592620855,1594085520,"",1612228314
13,https://hostfiles.frogeye.fr/firstparty-trackers-hosts.txt,1,1592620864,1594085519,"",1611805919
14,https://raw.githubusercontent.com/DandelionSprout/adfilt/master/Alternate%20versions%20Anti-Malware%20List/AntiMalwareHosts.txt,1,1592620896,1594085522,"",1612228317
15,https://osint.digitalside.it/Threat-Intel/lists/latestdomains.txt,1,1592620910,1594085518,"",1612087275
19,https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts_without_controversies.txt,1,1609211293,1609211293,"",1612228320
